"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Caribbean small states","CSS","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.7826790697793","99.02","99.1","99.09","99.01","99.29","99.41","99.4","99.44","99.49","98.5355103446878","98.6592747018722","98.683920430355","98.9381171147655","85.9322714511587","87.3459070839359","88.2326860115997","88.6860957417251","99.1172860602799","99.1239407114428","99.2886891363114","99.3623242675258","99.4237405336517","99.4184209293356","99.5484781230623","99.5708317257709","99.3855099628893","99.3163168115206","99.2815942711008","99.3180773582721","99.2262499125797","99.2460497546649","99.274888507237","","",
"Cuba","CUB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.69","59.47","54.94","61.61","62.83","68.85","66.95","68.9","71.65","70.48","70.9","69.73","72.63","75.27","75.44","81","84.22","84.94","86.9","86.05","88.95","86.86","86.56","86.43","84.58","84.54","87.66","83.85","80.33","82.53","81.51","84.7","88.08","","",
"Curacao","CUW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","99.95","99.95","99.95","99.95","99.97","99.97","99.97","99.97","99.72","99.71","99.7","99.72","99.7","99.7","99.73","99.75","99.76","99.73","99.75","99.76","99.49","99.46","99.49","99.38","99.04","98.56","97.87","97.62","97.7","97.85","","",
"Cayman Islands","CYM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.55","99.6","99.65","99.68","99.28","97.38","97.61","97.6","97.69","97.7","97.87","97.83","97.79","97.82","97.52","97.45","97.53","96.75","96.02","95.61","95.32","94.8","94.03","92.85","92.86","91.85","91.91","91.17","90.52","90","87.61","86.87","86.5","","",
"Czechia","CZE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.22","90.93","89.51","88.81","87.96","88.77","88.82","89.02","88.38","87.37","89.38","88.49","86.09","83.69","83.18","83.12","82.47","82.74","80.82","78.87","79.24","77.96","76","74.9","73.89","75.01","75.96","74.63","73.77","72.23","69.59","70.25","70.25","67.78","",
"Germany","DEU","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.84","87.1","85.96","86.04","86.03","85.81","85.91","84.63","84.93","83.93","83.63","83.61","83.28","82.93","82.23","81.56","80.82","80.71","79.92","79.3","78.76","79.67","79.68","80.23","79.39","79.59","80.3","80.28","79.5","78.08","76.68","77.03","78.47","77.6","",
"Djibouti","DJI","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.59","94.08","90.73","91.76","94.65","92.37","98.53","94.37","92.67","90.89","88.28","88.27","87.99","89.68","85.47","82.17","86.64","82.05","80.36","79.97","78.4","74.81","70.91","72.31","68.35","64.78","64.89","62","61.92","58.52","55.01","53.53","54.36","50.01","",
